0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y
1.3018863601,2021.,1.302033226,1988.,1.3021593494,1953.,1.3023024005,5648.
1.3068933887,2016.,1.3070252342,1996.,1.3072042865,1945.,1.3073423309,6726.
1.3117402,2000.,1.3118672771,2013.,1.3120112819,1949.,1.3121533794,7776.
1.3170028133,1984.,1.3171194,2024.,1.3173451824,1957.,1.3175232810,8854.
1.32193927,1982.,1.3220532340,2016.,1.3222303791,1976.,1.322365324,9946.
1.3269422454,1966.,1.3271603984,2012.,1.3273022575,1993.,1.3274383945,11108.
1.3320608539,1942.,1.3321881694,2013.,1.3323669834,2010.,1.332482378,12172.
1.3371582431,1956.,1.3373132152,1993.,1.3374922676,2025.,1.3376353187,13194.
1.3421259326,1956.,1.3423002166,1978.,1.3425212306,2038.,1.3427112503,14174.
1.3472433490,1973.,1.3473773403,1967.,1.3475122852,2029.,1.3477163715,15196.
1.3518453044,1990.,1.3519792957,1957.,1.3521502418,2024.,1.3522622985,16274.
1.3567650718,2000.,1.3569121761,1950.,1.3570452136,2012.,1.3572762413,912.
1.361792366,2015.,1.3618991775,1966.,1.3620803756,1985.,1.3622243804,2074.
1.3667650623,2014.,1.366943161,1971.,1.3670740528,1983.,1.3673019809,3208.
1.3718951148,2018.,1.3720252914,1984.,1.3721602363,1965.,1.3723214073,4384.
1.376909296,2018.,1.3770013256,1998.,1.3771343631,1956.,1.3773172302,5504.
1.3819303913,2023.,1.3820252819,2004.,1.3822033805,1937.,1.3823452396,6498.
1.3867669506,1998.,1.3868959350,2018.,1.3870823783,1945.,1.3872173233,7548.
1.3919351501,1989.,1.392054121,2022.,1.3921852512,1956.,1.3923142356,8640.
1.3969402713,1974.,1.3971152706,2014.,1.3972514076,1974.,1.3973863525,9704.
1.4019673271,1973.,1.4022062225,2009.,1.4023843212,1984.,1.4025192661,10866.
1.4069791240,1968.,1.4071193141,1988.,1.4072552127,1997.,1.4074333114,11972.
1.4121528072,1976.,1.4123251838,1986.,1.4124591751,2008.,1.4125953121,13204.
1.4170923633,1966.,1.4172254009,1981.,1.4174032611,2023.,1.417588274,14282.
1.4222662849,1969.,1.4224284095,1958.,1.4226591987,2036.,1.4228043956,15346.
1.4268069667,1991.,1.4269373817,1950.,1.4270713729,2023.,1.4272501869,16354.
1.4317713184,2000.,1.4319813652,1941.,1.4321239395,2023.,1.4322932167,950.
1.4367623729,2023.,1.4369182987,1951.,1.4370863838,1991.,1.4372182292,2042.
1.4417353076,2026.,1.4419243736,1958.,1.4420771999,1983.,1.4422552986,3078.
1.4469094676,2014.,1.4471571845,1971.,1.4473083419,1969.,1.4474351806,4170.
1.4519093437,2006.,1.4520502490,1990.,1.4521863861,1963.,1.452321331,5360.
1.4568953914,2009.,1.4570641918,2001.,1.4572003288,1960.,1.4573781890,6536.
1.4617722434,2003.,1.4618962211,2016.,1.4620843334,1952.,1.4622223777,7628.
1.4677682323,1985.,1.4679003162,2032.,1.4680343074,1958.,1.4682743949,8818.
1.4719319744,1970.,1.4722023410,2030.,1.4723852081,1969.,1.4725113315,9728.
1.4769761962,1967.,1.4771175785,2020.,1.4773455066,1985.,1.4775205059,10820.
1.4819336338,1955.,1.4821181697,2010.,1.4822512073,1999.,1.4824324054,11884.
1.4871502323,1968.,1.4873252315,1986.,1.4874601764,2010.,1.4875953598,13018.
1.4921293659,1983.,1.492246191,1981.,1.4923992557,2009.,1.4925191802,14152.
1.4972510738,1989.,1.4974291725,1972.,1.4975643558,2006.,1.4977202815,15314.
1.5017512245,1987.,1.5018864078,1963.,1.5020492477,2006.,1.5022442741,134.
1.5067353649,2008.,1.5068982048,1946.,1.5070953769,2011.,1.5072303218,1184.
1.5117555065,2021.,1.5119276447,1946.,1.5120625896,1993.,1.5122795505,2262.
